                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.1366,                0.49987,                 1.0408,                0.94485,                0.96384,                 0.9831,                0.69475,                 1.0666,                0.43481,                 1.0592,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.1353,                0.49925,                  1.044,                0.94619,                 0.9645,                0.98303,                0.70813,                 1.0142,                0.42328,                 1.0351,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.1341,                0.50051,                 1.0426,                 0.9415,                0.96376,                0.98183,                0.69964,                 1.0323,                0.43782,                 1.0449,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.1315,                0.49893,                 1.0385,                 0.9443,                0.96568,                0.98316,                 0.7098,                 1.0102,                0.42314,                 1.0352,               0.000317,               0.000317,               0.000317
                     87,                 1.1261,                0.49614,                 1.0388,                0.94783,                0.96477,                0.98349,                0.70767,                 1.0255,                0.42369,                 1.0409,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.1319,                0.49551,                 1.0446,                0.94785,                0.96389,                0.98341,                0.71281,                  1.007,                0.42005,                 1.0352,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.1181,                0.49145,                 1.0364,                0.94561,                0.96505,                0.98323,                0.70992,                  1.015,                0.42384,                 1.0382,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.1168,                0.49304,                 1.0363,                0.94559,                0.96714,                0.98384,                0.70872,                 1.0168,                0.42107,                 1.0389,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.1119,                0.46931,                 1.0537,                0.94447,                0.96418,                0.98263,                0.69908,                 1.0438,                0.43323,                 1.0488,               0.000218,               0.000218,               0.000218
                     92,                  1.087,                0.45762,                 1.0415,                0.94685,                0.96706,                0.98439,                0.71386,                 1.0043,                0.41738,                 1.0316,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.0793,                0.45137,                 1.0395,                0.94798,                  0.966,                0.98417,                0.71038,                  1.018,                0.42142,                 1.0404,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.0804,                0.45031,                 1.0407,                0.94838,                 0.9644,                0.98405,                0.71404,                 1.0043,                 0.4158,                  1.032,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.0784,                0.44799,                 1.0368,                0.94819,                0.96554,                0.98387,                0.71342,                 1.0095,                0.41778,                 1.0339,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.0704,                0.44603,                  1.035,                 0.9491,                0.96837,                0.98417,                0.71723,                 1.0013,                0.41244,                 1.0314,               0.000119,               0.000119,               0.000119
                     97,                 1.0709,                0.45054,                  1.032,                 0.9489,                0.96785,                0.98451,                0.71461,                 1.0033,                0.41396,                 1.0302,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                  1.074,                 0.4508,                 1.0352,                0.94879,                0.96723,                0.98435,                 0.7159,                0.99853,                0.41296,                 1.0293,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                  1.064,                 0.4468,                 1.0288,                0.94987,                0.96794,                 0.9848,                0.71849,                0.99649,                0.40921,                 1.0281,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.0529,                0.44017,                 1.0302,                0.94994,                0.96775,                0.98475,                0.72015,                0.98931,                0.40745,                 1.0249,               3.98e-05,               3.98e-05,               3.98e-05
